,COVID-19 Daily Update,,,,,,,,,,,,,,,,,,,COVID-19 Weekly Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,confirmed and,Confirmed and,,,,,,,,,,,,,,,Reported Risk Factors (percent),,,,,,,,,,,,By sex (percent),,By Age (count),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,By Race (count),,,,,,,,,,,,,,,,,,,,,,,,By Ethnicit (count),,,,,,,,,Underlying conditions in deaths (count),,,,,,,,,,
,,,,,,Confirmed,presumptive,presumptive,,,Weekly,,Weekly,,weekly,,,,,,,,contact with confirmed,,congregate living,,health care worker,,patient care,,Out of home area,,Underlying conditions,,,,0-19,,,,,20-29,,,,,30-39,,,,,40-49,,,,,50-59,,,,,60-69,,,,,70-79,,,,,80+,,,,,not available,,,,,white,,,black,,,asian,,,native,,,islander,,,other,,,>1 race,,,not available,,,hispanic,,,non- hispanic,,,not available,,,diabeties,resptory,heart,former smoker,smoker,renal,liver,neuro,immuno,obesity,other
Date,Tests,Week Tests,Positive,% Positive,% Week,Positive Growth,cases,new cases,Weekly Growth,Hospitalized,Hospitalized,ICU,ICU,ventilators,ventilators,Dead,Newly Dead,Weekly Death,Total Tests,cases,deaths,hosp,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,M,F,cases,new,deaths,new,hosp,cases,new,deaths,new,hosp,cases,new,deaths,new,hosp,cases,new,deaths,new,hosp,cases,new,deaths,new,hosp,cases,new,deaths,new,hosp,cases,new,deaths,new,hosp,cases,new,deaths,new,hosp,cases,new,deaths,new,hosp,cases,deaths,hosp,cases,deaths,hosp,cases,deaths,hosp,cases,deaths,hosp,cases,deaths,hosp,cases,deaths,hosp,cases,deaths,hosp,cases,deaths,hosp,cases,deaths,hosp,cases,deaths,hosp,cases,deaths,hosp,,,,,,,,,,,
Wed March 4 2020,NA,,3,,,3,3,3,,N/A,,,,,,N/A,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thu March 5 2020,16,,3,0.00%,,0,3,0,,N/A,,,,,,N/A,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fri March 6 2020,19,,3,0.00%,,0,3,0,,N/A,,,,,,N/A,,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sat March 7 2020,17,,7,23.53%,,4,7,4,,N/A,,,,,,N/A,,,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun March 8 2020,30,,14,23.33%,,7,14,7,,N/A,,,,,,N/A,,,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mon March 9 2020,65,,14,0.00%,,0,14,0,,N/A,,,,,,N/A,,,179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue March 10 2020,49,196,15,2.04%,6.12%,1,15,1,15,N/A,0,,0.00,,0.00,N/A,,0,228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed March 11 2020,77,,19,5.19%,,4,19,4,,N/A,,,,,,N/A,,,305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thu March 12 2020,0,,19,,,0,19,0,,N/A,,,,,,N/A,,,305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fri March 13 2020,62,,30,17.74%,,11,30,11,,N/A,,,,,,N/A,,,367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sat March 14 2020,0,,30,,,0,30,0,,N/A,,,,,,N/A,,,367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun March 15 2020,89,,36,6.74%,,6,36,6,,N/A,,,,,,N/A,,,456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mon March 16 2020,162,,39,1.85%,,3,39,3,,N/A,,,,,,N/A,,,618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue March 17 2020,118,508,47,6.78%,5.51%,8,47,8,32,N/A,0,,0.00,,0.00,N/A,,0,736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed March 18 2020,457,,75,6.13%,,28,75,28,,N/A,,,,,,3,3,,"1,193",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thu March 19 2020,224,,88,5.80%,,13,88,13,,N/A,,,,,,3,0,,"1,417",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fri March 20 2020,700,,114,3.71%,,26,114,26,,N/A,,,,,,3,0,,"2,117",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sat March 21 2020,0,,114,,,0,114,0,,N/A,,,,,,3,0,,"2,117",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun March 22 2020,908,,161,5.18%,,47,161,47,,43,,,,,,4,1,,"3,025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mon March 23 2020,815,,191,3.68%,,30,191,30,,56,,,,,,5,1,,"3,840",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue March 24 2020,719,"3,823",209,2.50%,3.51%,18,209,18,162,61,53.33,,0.00,,0.00,8,3,8,"4,559",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed March 25 2020,0,,209,,,0,209,0,,61,,,,,,8,0,,"4,559",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thu March 26 2020,"2,721",,327,4.34%,,118,327,118,,90,,,,,,11,3,,"7,280",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fri March 27 2020,"1,644",,414,5.29%,,87,414,87,,102,,,,,,12,1,,"8,924",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sat March 28 2020,"1,248",,479,5.21%,,65,479,65,,117,,,,,,13,1,,"10,172",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun March 29 2020,"1,254",,548,5.50%,,69,548,69,,129,,,,,,13,0,,"11,426",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mon March 30 2020,"1,457",,606,3.98%,,58,606,58,,140,,,,,,16,3,,"12,883",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue March 31 2020,943,"9,267",690,8.91%,5.19%,84,690,84,481,154,113.29,,0.00,,0.00,18,2,10,"13,826",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed April 1 2020,46,,736,,,46,736,46,,154,,,,,,18,0,,"13,872",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thu April 2 2020,"2,213",,826,4.07%,,90,826,90,,188,,,,,,21,3,,"16,085",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fri April 3 2020,"1,349",,899,5.41%,,73,899,73,,204,,,,,,22,1,,"17,434",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sat April 4 2020,100,,999,,,100,999,100,,239,,,,,,26,4,,"17,534",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun April 5 2020,"3,090",,"1,068",2.23%,,69,"1,068",69,,258,,,,,,27,1,,"20,624",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mon April 6 2020,"1,177",,"1,132",5.44%,,64,"1,132",64,,400,,,,82,,27,0,,"21,801",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue April 7 2020,"1,206","9,181","1,181",4.06%,4.85%,49,"1,181",49,491,464,272.43,,0.00,69,21.57,33,6,15,"23,007",1099,,,24.9,42.4,12.2,59.7,14,54.4,74,23.4,19.4,53.4,26.7,17.2,45.9,53.6,23,23,,,,112,112,,,,165,165,,,,202,202,,,,203,203,,,,200,200,,,,116,116,,,,77,77,,,,1,1,,,,452,,,23,,,28,,,5,,,10,,,174,,,12,,,395,,,202,,,485,,,412,,,,,,,,,,,,,
